Date,Area,Location,Activity,Incident Type,Fatal?,Address
1-Jun-10,Florida,"Ponte Vedra Beach, St Johns County",Surfing,Unprovoked,Non-fatal,"Ponte Vedra Beach, St Johns County,Florida,USA"
10-Jun-10,Florida,"Jacksonville Beach, Duval County",Boogie Boarding,Unprovoked,Non-fatal,"Jacksonville Beach, Duval County,Florida,USA"
25-Jun-10,North Carolina,"Topsail Island, Pender County",Swimming,Unprovoked,Non-fatal,"Topsail Island, Pender County,North Carolina,USA"
25-Jun-10,South Carolina,Fripp Island,Boogie Boarding,Unprovoked,Non-fatal,"Fripp Island,South Carolina,USA"
27-Jun-10,Texas,"Eight Mile Beach, Galveston",Surfing,Unprovoked,Non-fatal,"Eight Mile Beach, Galveston,Texas,USA"
2-Jul-10,California,"Dog Patch, San Onofre",Standing,Unprovoked,Non-fatal,"Dog Patch, San Onofre,California,USA"
2-Jul-10,California,"Pismo Beach, San Luis Obispo County",Surfing,Unprovoked,Non-fatal,"Pismo Beach, San Luis Obispo County,California,USA"
16-Jul-10,Texas,"Pirates Beach, Galveston",Fishing,Unprovoked,Non-fatal,"Pirates Beach, Galveston,Texas,USA"
17-Jul-10,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
17-Jul-10,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,Unprovoked,Non-fatal,"Wrightsville Beach, New Hanover County,North Carolina,USA"
19-Jul-10,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
23-Jul-10,Florida,"Jacksonville Beach, Duval County",Surfing,Unprovoked,Non-fatal,"Jacksonville Beach, Duval County,Florida,USA"
25-Jul-10,South Carolina,"Isle of Palms, Charleston County",Standing,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
2-Aug-10,Florida,"Micklers Landing, St. Johns County",Standing,Unprovoked,Non-fatal,"Micklers Landing, St. Johns County,Florida,USA"
21-May-16,Florida,"St. Petersburg, Pinellas County",Swimming,Unprovoked,Non-fatal,"St. Petersburg, Pinellas County,Florida,USA"
7-Aug-10,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,Unprovoked,Non-fatal,"Figure Eight Island, Wilmington, New Hanover County,North Carolina,USA"
14-Aug-10,California,"Pigeon Point, San Mateo County",Kayaking,Unprovoked,Non-fatal,"Pigeon Point, San Mateo County,California,USA"
18-Aug-10,Florida,Crescent Beach St. Johns County,Boogie Boarding,Unprovoked,Non-fatal,"Crescent Beach St. Johns County,Florida,USA"
3-Sep-10,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
3-Sep-10,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
4-Sep-10,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
7-Sep-10,Florida,"St Augustine Beach, St Johns County",Swimming,Unprovoked,Non-fatal,"St Augustine Beach, St Johns County,Florida,USA"
24-Sep-10,Virginia,Sandridge Beach,Surfing,Unprovoked,Non-fatal,"Sandridge Beach,Virginia,USA"
22-May-16,Florida,"Vero Beach, Indian River County",Swimming,Unprovoked,Non-fatal,"Vero Beach, Indian River County,Florida,USA"
22-Oct-10,California,"Surf Beach, Lompoc, Santa Barbara County",Boogie Boarding,Unprovoked,Fatal,"Surf Beach, Lompoc, Santa Barbara County,California,USA"
23-Oct-10,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,Unprovoked,Non-fatal,"Burnt Cove near Eastport, Washington County,Maine,USA"
28-Oct-10,Oregon,"Florence, Lane County",Surfing,Unprovoked,Non-fatal,"Florence, Lane County,Oregon,USA"
11-Dec-10,Hawaii,"Tavares Bay, Maui",Surfing,Unprovoked,Non-fatal,"Tavares Bay, Maui,Hawaii,USA"
26-Dec-10,Hawaii,"Kahului, Maui",Boogie Boarding,Unprovoked,Non-fatal,"Kahului, Maui,Hawaii,USA"
1-Jan-11,North Carolina,Beaufort Inlet,Swimming,Unprovoked,Non-fatal,"Beaufort Inlet,North Carolina,USA"
1-Jan-11,Puerto Rico,Vieques,Floating,Unprovoked,Non-fatal,"Vieques,Puerto Rico,USA"
22-Apr-11,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-Apr-11,Florida,"Riviera Beach, Palm Beach County",Spearfishing,Unprovoked,Non-fatal,"Riviera Beach, Palm Beach County,Florida,USA"
13-May-11,Florida,"Ormond Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ormond Beach, Volusia County,Florida,USA"
13-May-11,Florida,"Ponte Vedra Beach, St Johns County",Boogie Boarding,Unprovoked,Non-fatal,"Ponte Vedra Beach, St Johns County,Florida,USA"
22-May-11,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,Unprovoked,Non-fatal,"Lyman Beach, Kailua-Kona,Hawaii,USA"
25-May-11,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,Unprovoked,Non-fatal,"Lyman Beach, Kailua-Kona,Hawaii,USA"
30-May-11,Texas,"Follett's Island, Brazoria County",Boogie Boarding,Unprovoked,Non-fatal,"Follett's Island, Brazoria County,Texas,USA"
6-Jun-11,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
6-Jun-11,California,"La Jolla, San Diego County",Spearfishing,Unprovoked,Non-fatal,"La Jolla, San Diego County,California,USA"
12-Jun-11,Florida,"Jupiter Beach, Palm Beach County",Scuba diving,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
21-Jun-11,Florida,"Perdido Key, Escambia County",Jet skiing,Unprovoked,Non-fatal,"Perdido Key, Escambia County,Florida,USA"
24-Jun-11,California,"San Onofre State Beach, San Diego County",Surfing,Unprovoked,Non-fatal,"San Onofre State Beach, San Diego County,California,USA"
7-Jul-11,Texas,"Mustang Island, Nueces County",Fishing,Unprovoked,Non-fatal,"Mustang Island, Nueces County,Texas,USA"
7-Jul-11,Texas,"Sunday Beach, Matagorda Island, Calhoun County",Swimming,Unprovoked,Non-fatal,"Sunday Beach, Matagorda Island, Calhoun County,Texas,USA"
13-Jul-11,Texas,"South Padre Island, Cameron County",Fishing,Unprovoked,Non-fatal,"South Padre Island, Cameron County,Texas,USA"
19-Jul-11,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Boogie Boarding,Unprovoked,Non-fatal,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County,North Carolina,USA"
25-Jul-11,New Jersey,"Egg Harbor, Atlantic County",Fishing,Unprovoked,Non-fatal,"Egg Harbor, Atlantic County,New Jersey,USA"
17-Aug-11,North Carolina,"Kure Beach, New Hanover County",Wading,Unprovoked,Non-fatal,"Kure Beach, New Hanover County,North Carolina,USA"
5-Sep-16,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie Boarding,Unprovoked,Non-fatal,"Kingston Plantation, Myrtle Beach, Horry County,South Carolina,USA"
24-Aug-11,North Carolina,"Buxton Beach, Dare County",Surfing,Unprovoked,Non-fatal,"Buxton Beach, Dare County,North Carolina,USA"
28-Aug-11,Texas,"Grass Island, Aransas County",Fishing,Unprovoked,Non-fatal,"Grass Island, Aransas County,Texas,USA"
31-Aug-11,Florida,Crescent Beach St. Johns County,Surfing,Unprovoked,Non-fatal,"Crescent Beach St. Johns County,Florida,USA"
2-Sep-11,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
4-Sep-11,Hawaii,"Nimitz State Beach, Oahu",Surfing,Unprovoked,Non-fatal,"Nimitz State Beach, Oahu,Hawaii,USA"
11-Sep-11,California,"Samoa Beach, Humboldt County",Surfing,Unprovoked,Non-fatal,"Samoa Beach, Humboldt County,California,USA"
16-Sep-11,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
24-Sep-11,South Carolina,"North Myrtle Beach, Horry County",Playing in the water,Unprovoked,Non-fatal,"North Myrtle Beach, Horry County,South Carolina,USA"
24-Sep-11,Florida,"Santa Maria Island, Manatee County",Spearfishing,Unprovoked,Non-fatal,"Santa Maria Island, Manatee County,Florida,USA"
7-Sep-16,Hawaii,"Makaha, Oahu",Swimming,Unprovoked,Non-fatal,"Makaha, Oahu,Hawaii,USA"
2-Oct-11,Florida,"Santa Maria Island, Manatee County",Fishing,Unprovoked,Non-fatal,"Santa Maria Island, Manatee County,Florida,USA"
29-May-16,Florida,"Neptune Beach, Duval County",Swimming,Unprovoked,Non-fatal,"Neptune Beach, Duval County,Florida,USA"
11-Oct-11,Florida,Cape Canaveral,Surfing,Unprovoked,Non-fatal,"Cape Canaveral,Florida,USA"
20-Oct-11,Oregon,"Newport, Lincoln County",Surfing,Unprovoked,Non-fatal,"Newport, Lincoln County,Oregon,USA"
29-Oct-11,California,"Marina State Beach, Monterey County",Surfing,Unprovoked,Non-fatal,"Marina State Beach, Monterey County,California,USA"
22-Nov-11,California,"Pigeon Point, San Mateo County",Kayaking,Unprovoked,Non-fatal,"Pigeon Point, San Mateo County,California,USA"
29-May-16,California,"Corona Del Mar, Newport, Orange County",Swimming,Unprovoked,Non-fatal,"Corona Del Mar, Newport, Orange County,California,USA"
23-Dec-11,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
11-Sep-16,Florida,"Ponte Vedra Beach, St Johns County",Wading,Unprovoked,Non-fatal,"Ponte Vedra Beach, St Johns County,Florida,USA"
13-Jan-12,Oregon,"Lincoln City, Lincoln County",Surfing,Unprovoked,Non-fatal,"Lincoln City, Lincoln County,Oregon,USA"
5-Jun-16,Florida,"Flagler Beach, Flagler County",Swimming,Unprovoked,Non-fatal,"Flagler Beach, Flagler County,Florida,USA"
4-Mar-12,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Kite Surfing,Unprovoked,Non-fatal,"Playalinda Beach, Canaveral National Seashore, Brevard County,Florida,USA"
14-Mar-12,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
14-Mar-12,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
15-Mar-12,Florida,"Jensen Beach, Martin County",Surfing,Unprovoked,Non-fatal,"Jensen Beach, Martin County,Florida,USA"
24-Mar-12,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
3-Apr-12,Hawaii,"Chun's Reef, Oahu",Surfing,Unprovoked,Non-fatal,"Chun's Reef, Oahu,Hawaii,USA"
19-Apr-12,Florida,"Indialantic, Brevard County",Surfing,Unprovoked,Non-fatal,"Indialantic, Brevard County,Florida,USA"
6-May-12,California,"Catalina Island, Avalon",Paddle boarding,Unprovoked,Non-fatal,"Catalina Island, Avalon,California,USA"
9-May-12,Florida,"Vero Beach, Indian River County",Swimming,Unprovoked,Non-fatal,"Vero Beach, Indian River County,Florida,USA"
12-May-12,California,"Leffingwell Landing, Cambria, San Luis Obispo County",Kayaking,Unprovoked,Non-fatal,"Leffingwell Landing, Cambria, San Luis Obispo County,California,USA"
20-May-12,Hawaii,"Iroquiois Point, Oahu",Kayaking,Unprovoked,Non-fatal,"Iroquiois Point, Oahu,Hawaii,USA"
23-May-12,Florida,"Jacksonville, Duval County",Surfing,Unprovoked,Non-fatal,"Jacksonville, Duval County,Florida,USA"
31-May-12,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,Unprovoked,Non-fatal,"Avon, Hatteras Island, Outer Banks, Dare County,North Carolina,USA"
2-Jun-12,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
2-Jun-12,Florida,"Bethune Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Bethune Beach, Volusia County,Florida,USA"
14-Jun-12,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
14-Jun-12,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
14-Jun-12,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
14-Jun-12,South Carolina,"Myrtle Beach, Horry County",Swimming,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
18-Jun-12,North Carolina,"Ocean Isle, Brunswick County",Wading,Unprovoked,Non-fatal,"Ocean Isle, Brunswick County,North Carolina,USA"
22-Jun-12,Florida,"Bathtub Reef Beach, Stuart, Martin County",Swimming,Unprovoked,Non-fatal,"Bathtub Reef Beach, Stuart, Martin County,Florida,USA"
26-Jun-12,Hawaii,"Kahana Beach, Maui",Playing in the water,Unprovoked,Non-fatal,"Kahana Beach, Maui,Hawaii,USA"
26-Jun-12,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-Jun-12,Florida,"Juno Beach, Palm Beach County",Swimming,Unprovoked,Non-fatal,"Juno Beach, Palm Beach County,Florida,USA"
7-Jul-12,California,"Pleasure Point, Santa Cruz County",Kayaking,Unprovoked,Non-fatal,"Pleasure Point, Santa Cruz County,California,USA"
8-Jul-12,North Carolina,"North Topsail Beach, Onslow County",Swimming,Unprovoked,Non-fatal,"North Topsail Beach, Onslow County,North Carolina,USA"
30-Jul-12,Massachusetts,"Ballston Beach, Truro, Cape Cod",Boogie Boarding,Unprovoked,Non-fatal,"Ballston Beach, Truro, Cape Cod,Massachusetts,USA"
30-Jul-12,Hawaii,"Maha‘ulepu Beach, Kauai",Surfing,Unprovoked,Non-fatal,"Maha‘ulepu Beach, Kauai,Hawaii,USA"
31-Jul-12,California,"Topanga Beach, Los Angeles County",Surfing,Unprovoked,Non-fatal,"Topanga Beach, Los Angeles County,California,USA"
8-Aug-12,Florida,Key Largo,Diving,Unprovoked,Non-fatal,"Key Largo,Florida,USA"
15-Aug-12,Alabama,"Gulf Shores, Baldwin County",Wading,Unprovoked,Non-fatal,"Gulf Shores, Baldwin County,Alabama,USA"
2-Sep-12,Florida,"New Smyrna Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
2-Sep-12,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
4-Sep-12,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
6-Sep-12,Florida,"St Augustine Beach, St Johns County",Surfing,Unprovoked,Non-fatal,"St Augustine Beach, St Johns County,Florida,USA"
6-Sep-12,Florida,"Neptune Beach, Duval County",Surfing,Unprovoked,Non-fatal,"Neptune Beach, Duval County,Florida,USA"
8-Sep-12,Florida,"South Beach, Miami-Dade County",Swimming,Unprovoked,Non-fatal,"South Beach, Miami-Dade County,Florida,USA"
8-Sep-12,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Lori Wilson Park, Cocoa Beach, Brevard County,Florida,USA"
9-Sep-12,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
16-Sep-12,Florida,"Cocoa Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
24-Sep-12,Florida,"Spanish House Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Spanish House Beach, Brevard County,Florida,USA"
25-Sep-12,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
25-Aug-16,Florida,"Ponte Vedra Beach, St Johns County",Wading,Unprovoked,Non-fatal,"Ponte Vedra Beach, St Johns County,Florida,USA"
18-Oct-12,Hawaii,"Kanaha Beach, Maui",Paddle boarding,Unprovoked,Non-fatal,"Kanaha Beach, Maui,Hawaii,USA"
18-Oct-12,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
17-Sep-16,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,Unprovoked,Non-fatal,"Bunkers, Humboldt Bay, Eureka, Humboldt County,California,USA"
23-Oct-12,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,Unprovoked,Fatal,"Surf Beach, Lompoc, Santa Barbara County,California,USA"
27-Oct-12,Hawaii,"Makena Landing, Maui",Swimming,Unprovoked,Non-fatal,"Makena Landing, Maui,Hawaii,USA"
30-Oct-12,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,Unprovoked,Non-fatal,"Humboldt Bay, Eureka, Humboldt County,California,USA"
4-Nov-12,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,Unprovoked,Non-fatal,"Davidson's Surf Break, Kekaha, Kaua'i,Hawaii,USA"
4-Nov-12,Hawaii,"Makena Landing, Maui",Diving,Unprovoked,Non-fatal,"Makena Landing, Maui,Hawaii,USA"
19-Nov-12,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
30-Nov-12,Hawaii,"Kihei, Maui",Snorkeling,Unprovoked,Non-fatal,"Kihei, Maui,Hawaii,USA"
11-Jun-16,North Carolina,"Atlantic Beach, Carteret County",Standing,Unprovoked,Non-fatal,"Atlantic Beach, Carteret County,North Carolina,USA"
31-Dec-12,Florida,"Jensen Beach, Martin County",Swimming,Unprovoked,Non-fatal,"Jensen Beach, Martin County,Florida,USA"
1-Jan-13,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,Unprovoked,Non-fatal,"Keawekapu Beach, Kihei, Maui,Hawaii,USA"
16-Jan-13,Hawaii,Kiholo Bay,Surfing,Unprovoked,Non-fatal,"Kiholo Bay,Hawaii,USA"
10-Feb-13,Florida,"Stuart Rocks, Martin County",Surfing,Unprovoked,Non-fatal,"Stuart Rocks, Martin County,Florida,USA"
21-Feb-13,Hawaii,"Paia Bay, Maui",Surfing,Unprovoked,Non-fatal,"Paia Bay, Maui,Hawaii,USA"
21-Feb-13,Hawaii,"Ka’anapali Shores, Honokowai, Maui",Surfing,Unprovoked,Non-fatal,"Ka’anapali Shores, Honokowai, Maui,Hawaii,USA"
18-Sep-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
2-Apr-13,Hawaii,"Ka’anapali Shores, Honokowai, Maui",Surfing,Unprovoked,Non-fatal,"Ka’anapali Shores, Honokowai, Maui,Hawaii,USA"
4-Apr-13,Florida,"Jensen Beach, Martin County",Swimming,Unprovoked,Non-fatal,"Jensen Beach, Martin County,Florida,USA"
13-Apr-13,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
17-Apr-13,Florida,"Boynton Beach, Palm Beach County",Playing in the water,Unprovoked,Non-fatal,"Boynton Beach, Palm Beach County,Florida,USA"
4-May-13,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
27-May-13,Florida,"Ormond Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"Ormond Beach, Volusia County,Florida,USA"
27-May-13,Hawaii,"Halewia, Oahu",Diving,Unprovoked,Non-fatal,"Halewia, Oahu,Hawaii,USA"
14-Jun-13,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,Unprovoked,Non-fatal,"Myrtle Beach, Horry County,South Carolina,USA"
15-Jun-13,Florida,"Atlantic Beach, Duval County",Surfing,Unprovoked,Non-fatal,"Atlantic Beach, Duval County,Florida,USA"
17-Jun-13,Texas,"Surfside Beach, Brazoria County",Swimming,Unprovoked,Non-fatal,"Surfside Beach, Brazoria County,Texas,USA"
18-Jun-13,Hawaii,Kona Coast State Park,Swimming,Unprovoked,Non-fatal,"Kona Coast State Park,Hawaii,USA"
25-Jun-13,South Carolina,"Kiawah Island, Charleston County",Swimming,Unprovoked,Non-fatal,"Kiawah Island, Charleston County,South Carolina,USA"
25-Jun-13,Florida,"Jacksonville, Duval County",Swimming,Unprovoked,Non-fatal,"Jacksonville, Duval County,Florida,USA"
25-Jun-13,California,"Pacific State , San Mateo County",Kayaking,Unprovoked,Non-fatal,"Pacific State , San Mateo County,California,USA"
11-Jul-13,North Carolina,Holden Beach. Brunswick County,Wading,Unprovoked,Non-fatal,"Holden Beach. Brunswick County,North Carolina,USA"
17-Jul-13,Florida,"Butler Beach, St Augustine, St. Johns County",Swimming,Unprovoked,Non-fatal,"Butler Beach, St Augustine, St. Johns County,Florida,USA"
19-Jul-13,Alabama,"Gulf Shores, Baldwin County",Standing,Unprovoked,Non-fatal,"Gulf Shores, Baldwin County,Alabama,USA"
29-Jul-13,Hawaii,"White Plains Beach, Oahu",Surfing,Unprovoked,Non-fatal,"White Plains Beach, Oahu,Hawaii,USA"
30-Jul-13,South Carolina,"Isle of Palms, Charleston County",Swimming,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
31-Jul-13,Hawaii,"Ulua Beach, Maui",Snorkeling,Unprovoked,Non-fatal,"Ulua Beach, Maui,Hawaii,USA"
5-Aug-13,Florida,"Sanibel Island, Lee County",Fishing,Unprovoked,Non-fatal,"Sanibel Island, Lee County,Florida,USA"
11-Aug-13,South Carolina,"Folly Beach, Charleston County",Surfing,Unprovoked,Non-fatal,"Folly Beach, Charleston County,South Carolina,USA"
13-Aug-13,Hawaii,"Ka'a Point, Maui",Kite Surfing,Unprovoked,Non-fatal,"Ka'a Point, Maui,Hawaii,USA"
14-Aug-13,Hawaii,"Makenat, Maui",Snorkeling,Unprovoked,Fatal,"Makenat, Maui,Hawaii,USA"
17-Aug-13,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,Unprovoked,Non-fatal,"Pillar Point, Half-Moon Bay, San Mateo County,California,USA"
14-Jun-16,Texas,"Pirates Beach, Galveston",Floating,Unprovoked,Non-fatal,"Pirates Beach, Galveston,Texas,USA"
25-Aug-13,Florida,"Winterhaven Park, Ponce Inlet, Volusia County",Boogie Boarding,Unprovoked,Non-fatal,"Winterhaven Park, Ponce Inlet, Volusia County,Florida,USA"
31-Aug-13,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,Unprovoked,Non-fatal,"Butterfly Beach, Montecito, Santa Barbara County,California,USA"
1-Sep-13,Florida,"St Augustine Beach, St Johns County",Fishing,Unprovoked,Non-fatal,"St Augustine Beach, St Johns County,Florida,USA"
2-Sep-13,Florida,"Ormond Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"Ormond Beach, Volusia County,Florida,USA"
7-Sep-13,Florida,"New Smyrna Beach, Volusia County",Standing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
18-Sep-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
12-Sep-13,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
14-Sep-13,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,Unprovoked,Non-fatal,"Casino Beach, Pensacola, Escambia County,Florida,USA"
21-Sep-13,Florida,"Jupiter Beach, Palm Beach County",Surfing,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
21-Sep-13,Florida,"Ormond Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"Ormond Beach, Volusia County,Florida,USA"
25-Sep-13,Florida,"Panama City, Bay County",Standing,Unprovoked,Non-fatal,"Panama City, Bay County,Florida,USA"
29-Sep-13,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
6-Oct-13,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,Unprovoked,Non-fatal,"Bunkers, Humboldt Bay, Eureka, Humboldt County,California,USA"
10-Oct-13,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
19-Oct-13,Florida,Miami Beach,Wading,Unprovoked,Non-fatal,"Miami Beach,Florida,USA"
20-Oct-13,Hawaii,"Pila'a Beach, Kaua'i",Surfing,Unprovoked,Non-fatal,"Pila'a Beach, Kaua'i,Hawaii,USA"
23-Oct-13,Hawaii,"Waiehu, Maui",Diving,Unprovoked,Non-fatal,"Waiehu, Maui,Hawaii,USA"
31-Oct-13,Hawaii,"Kanaha Beach, Maui",Kite Surfing,Unprovoked,Non-fatal,"Kanaha Beach, Maui,Hawaii,USA"
7-Nov-13,Florida,"Floridana Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Floridana Beach, Brevard County,Florida,USA"
7-Nov-13,New Jersey,"Bay Head, Ocean County",Boogie Boarding,Unprovoked,Non-fatal,"Bay Head, Ocean County,New Jersey,USA"
22-Nov-13,Oregon,"Gleneden Beach, Lincoln County",Surfing,Unprovoked,Non-fatal,"Gleneden Beach, Lincoln County,Oregon,USA"
15-Jun-16,Hawaii,"Kalapaki Beach, Kauai",Surfing,Unprovoked,Non-fatal,"Kalapaki Beach, Kauai,Hawaii,USA"
10-Dec-13,Florida,"Cocoa Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
11-Dec-13,Hawaii,"Ninole Bay, Hawaii County",Boogie Boarding,Unprovoked,Non-fatal,"Ninole Bay, Hawaii County,Hawaii,USA"
1-Jan-14,Florida,"Jacksonville Beach, Duval County",Wading,Unprovoked,Non-fatal,"Jacksonville Beach, Duval County,Florida,USA"
2-Mar-14,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,Unprovoked,Non-fatal,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County,Florida,USA"
21-Mar-14,Florida,Macarthur State Park,Surfing,Unprovoked,Non-fatal,"Macarthur State Park,Florida,USA"
22-Mar-14,Florida,Delray Beach,Kite Surfing,Unprovoked,Non-fatal,"Delray Beach,Florida,USA"
4-Apr-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
4-Apr-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
15-Apr-14,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
22-Apr-14,Florida,"Cocoa Beach, Brevard County",Swimming,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
1-May-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
6-May-14,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,Unprovoked,Non-fatal,"Coligny Beach, Hilton Head, Beaufort County,South Carolina,USA"
