Date,Area,Location,Activity,Incident Type,Fatal?,Address
10-Dec-06,California,"Dillon Beach, Marin County",Surfing,Unprovoked,Non-fatal,"Dillon Beach, Marin County,California,USA"
1-Jan-07,Hawaii,"Majors Bay, Kaua'i",Surfing,Unprovoked,Non-fatal,"Majors Bay, Kaua'i,Hawaii,USA"
11-Mar-07,Florida,"Tiger Shores Beach, Martin County",Surfing,Unprovoked,Non-fatal,"Tiger Shores Beach, Martin County,Florida,USA"
21-Mar-07,Florida,"Jupiter Beach, Palm Beach County",Surfing,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
29-Aug-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
31-Mar-07,Florida,"Normandy Beach, Hutchinson Island, St. Lucie County",Surfing,Unprovoked,Non-fatal,"Normandy Beach, Hutchinson Island, St. Lucie County,Florida,USA"
1-Apr-07,Florida,"New Smyrna Beach, Volusia County",Playing in the water,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
20-Apr-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
22-Apr-07,Florida,"Hutchinson Island, St. Lucie County",Boogie Boarding,Unprovoked,Non-fatal,"Hutchinson Island, St. Lucie County,Florida,USA"
7-May-07,Florida,Naples,Swimming,Unprovoked,Non-fatal,"Naples,Florida,USA"
7-May-07,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,Unprovoked,Non-fatal,"Keawekapu Beach, Kihei, Maui,Hawaii,USA"
10-May-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-May-07,South Carolina,Garden City,Wading,Unprovoked,Non-fatal,"Garden City,South Carolina,USA"
12-Jun-07,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,Unprovoked,Non-fatal,"Turtle Beach, Siesta Key, Sarasota County,Florida,USA"
24-Jun-07,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,Unprovoked,Non-fatal,"Silva's Channel, Mokuleia, O'ahu,Hawaii,USA"
25-Jun-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
30-Jun-07,California,"Will Rogers State Beach, Los Angeles County",Swimming,Unprovoked,Non-fatal,"Will Rogers State Beach, Los Angeles County,California,USA"
5-Jul-07,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
17-Jul-07,North Carolina,"Atlantic Beach, Carteret County",Wading,Unprovoked,Non-fatal,"Atlantic Beach, Carteret County,North Carolina,USA"
18-Jul-07,North Carolina,"North Topsail Beach, Onslow County",Swimming,Unprovoked,Non-fatal,"North Topsail Beach, Onslow County,North Carolina,USA"
19-Jul-07,Hawaii,"Bellows Beach near Wailea Point, O’ahu",Snorkeling,Unprovoked,Non-fatal,"Bellows Beach near Wailea Point, O’ahu,Hawaii,USA"
22-Jul-07,California,"Malibu, Los Angeles County",Boogie Boarding,Unprovoked,Non-fatal,"Malibu, Los Angeles County,California,USA"
28-Jul-07,California,"Imperial Beach, San Diego County",Surfing,Unprovoked,Non-fatal,"Imperial Beach, San Diego County,California,USA"
29-Jul-07,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
7-Aug-07,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Playing in the water,Unprovoked,Non-fatal,"Islamorada Founder's Park, Plantation Key, Monroe County,Florida,USA"
9-Aug-07,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
9-Aug-07,South Carolina,"Isle of Palms, Charleston County",Swimming,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
11-Aug-07,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Standing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
12-Aug-07,Florida,"New Smyrna Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
15-Aug-07,Florida,Sarasota Bay,Floating,Unprovoked,Non-fatal,"Sarasota Bay,Florida,USA"
19-Aug-07,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing in the water,Unprovoked,Non-fatal,"Lakewood Campground, Grand Strand, Horry County,South Carolina,USA"
19-Aug-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
19-Aug-07,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,Unprovoked,Non-fatal,"Islamorada Founder's Park, Plantation Key, Monroe County,Florida,USA"
25-Aug-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-Aug-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
28-Aug-07,California,"Marina State Beach, Monterey County",Surfing,Unprovoked,Non-fatal,"Marina State Beach, Monterey County,California,USA"
28-Aug-07,Hawaii,"Ka'a'awa, Oahu",Boogie Boarding,Unprovoked,Non-fatal,"Ka'a'awa, Oahu,Hawaii,USA"
3-Sep-07,Florida,Fort Lauderdale,Swimming,Unprovoked,Non-fatal,"Fort Lauderdale,Florida,USA"
3-Sep-07,Florida,"Daytona Beach, Volusia County",Playing in the water,Unprovoked,Non-fatal,"Daytona Beach, Volusia County,Florida,USA"
4-Sep-07,South Carolina,Sullivan's Island,Standing,Unprovoked,Non-fatal,"Sullivan's Island,South Carolina,USA"
5-Sep-07,Florida,"Daytona Beach, Volusia County",Wading,Unprovoked,Non-fatal,"Daytona Beach, Volusia County,Florida,USA"
8-Sep-07,Florida,"Pepper Park Beach, St. Lucie County",Wading,Unprovoked,Non-fatal,"Pepper Park Beach, St. Lucie County,Florida,USA"
13-Sep-07,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,Unprovoked,Non-fatal,"Lauderdale-by-the-Sea, Broward County,Florida,USA"
16-Sep-07,Florida,"Flagler Beach, Flagler County",Surfing,Unprovoked,Non-fatal,"Flagler Beach, Flagler County,Florida,USA"
16-Sep-07,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
20-Sep-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
22-Sep-07,Florida,"Hugenot Beach , Jacksonville, Duval County",Surfing,Unprovoked,Non-fatal,"Hugenot Beach , Jacksonville, Duval County,Florida,USA"
27-Sep-07,California,"Moonstone Beach, Humboldt County",Surfing,Unprovoked,Non-fatal,"Moonstone Beach, Humboldt County,California,USA"
30-Sep-07,California,"Santa Monica, Los Angeles County",Surfing,Unprovoked,Non-fatal,"Santa Monica, Los Angeles County,California,USA"
6-Oct-07,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Unprovoked,Non-fatal,"Playalinda Beach, Canaveral National Seashore, Brevard County,Florida,USA"
7-Oct-07,California,"Venice Pier, Venice, Los Angeles County",Surfing,Unprovoked,Non-fatal,"Venice Pier, Venice, Los Angeles County,California,USA"
29-Oct-07,Hawaii,"Waiehu, Maui",Floating,Unprovoked,Non-fatal,"Waiehu, Maui,Hawaii,USA"
4-Nov-07,Florida,"Round Island Park, Indian River County",Surfing,Unprovoked,Non-fatal,"Round Island Park, Indian River County,Florida,USA"
6-Nov-07,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
10-Dec-07,Hawaii,"Waialua Bay, O'ahu",Surfing,Unprovoked,Non-fatal,"Waialua Bay, O'ahu,Hawaii,USA"
10-Jan-08,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Unprovoked,Non-fatal,"Playalinda Beach, Canaveral National Seashore, Brevard County,Florida,USA"
6-Feb-08,Florida,"Opposite Patrick Air Force Base, Brevard County",Kite Surfing,Unprovoked,Non-fatal,"Opposite Patrick Air Force Base, Brevard County,Florida,USA"
15-Feb-08,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
7-Mar-08,California,"Huntington Beach, Orange County",Surfing,Unprovoked,Non-fatal,"Huntington Beach, Orange County,California,USA"
15-Mar-08,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,Unprovoked,Non-fatal,"Lovers Key State Park, Bonita Springs, Lee County,Florida,USA"
